Code,Name,MarketId
005930,삼성전자,STK
000660,SK하이닉스,STK
373220,LG에너지솔루션,STK
207940,삼성바이오로직스,STK
005935,삼성전자우,STK
005380,현대차,STK
000270,기아,STK
068270,셀트리온,STK
005490,POSCO홀딩스,STK
035420,NAVER,STK
006400,삼성SDI,STK
051910,LG화학,STK
105560,KB금융,STK
028260,삼성물산,STK
247540,에코프로비엠,KSQ
012330,현대모비스,STK
035720,카카오,STK
055550,신한지주,STK
003670,포스코퓨처엠,STK
032830,삼성생명,STK
086790,하나금융지주,STK
066570,LG전자,STK
138040,메리츠금융지주,STK
086520,에코프로,KSQ
042700,한미반도체,STK
000810,삼성화재,STK
028300,HLB,KSQ
015760,한국전력,STK
259960,크래프톤,STK
003550,LG,STK
012450,한화에어로스페이스,STK
033780,KT&G,STK
018260,삼성에스디에스,STK
034730,SK,STK
323410,카카오뱅크,STK
329180,HD현대중공업,STK
017670,SK텔레콤,STK
011200,HMM,STK
009150,삼성전기,STK
024110,기업은행,STK
402340,SK스퀘어,STK
316140,우리금융지주,STK
042660,한화오션,STK
096770,SK이노베이션,STK
010130,고려아연,STK
352820,하이브,STK
034020,두산에너빌리티,STK
196170,알테오젠,KSQ
267260,HD현대일렉트릭,STK
010950,S-Oil,STK
030200,KT,STK
010140,삼성중공업,STK
009540,HD한국조선해양,STK
090430,아모레퍼시픽,STK
047050,포스코인터내셔널,STK
450080,에코프로머티,STK
003490,대한항공,STK
161390,한국타이어앤테크놀로지,STK
326030,SK바이오팜,STK
086280,현대글로비스,STK
005830,DB손해보험,STK
022100,포스코DX,STK
051900,LG생활건강,STK
348370,엔켐,KSQ
000100,유한양행,STK
001570,금양,STK
088980,맥쿼리인프라,STK
066970,엘앤에프,STK
005387,현대차2우B,STK
241560,두산밥캣,STK
097950,CJ제일제당,STK
010120,LS ELECTRIC,STK
034220,LG디스플레이,STK
251270,넷마블,STK
028050,삼성E&A,STK
005070,코스모신소재,STK
047810,한국항공우주,STK
267250,HD현대,STK
454910,두산로보틱스,STK
064350,현대로템,STK
377300,카카오페이,STK
302440,SK바이오사이언스,STK
011070,LG이노텍,STK
009830,한화솔루션,STK
361610,SK아이이테크놀로지,STK
006800,미래에셋증권,STK
032640,LG유플러스,STK
004020,현대제철,STK
058470,리노공업,KSQ
029780,삼성카드,STK
011170,롯데케미칼,STK
011790,SKC,STK
006260,LS,STK
078930,GS,STK
021240,코웨이,STK
128940,한미약품,STK
068760,셀트리온제약,KSQ
307950,현대오토에버,STK
180640,한진칼,STK
000720,현대건설,STK
005940,NH투자증권,STK
403870,HPSP,KSQ
036570,엔씨소프트,STK
079550,LIG넥스원,STK
271560,오리온,STK
003410,쌍용C&E,STK
005385,현대차우,STK
071050,한국금융지주,STK
001040,CJ,STK
277810,레인보우로보틱스,KSQ
011780,금호석유,STK
039490,키움증권,STK
016360,삼성증권,STK
272210,한화시스템,STK
035250,강원랜드,STK
039030,이오테크닉스,KSQ
298040,효성중공업,STK
010620,HD현대미포,STK
000120,CJ대한통운,STK
004990,롯데지주,STK
001450,현대해상,STK
018880,한온시스템,STK
214150,클래시스,KSQ
138930,BNK금융지주,STK
002790,아모레G,STK
145020,휴젤,KSQ
383220,F&F,STK
065350,신성델타테크,KSQ
007660,이수페타시스,STK
000250,삼천당제약,KSQ
081660,휠라홀딩스,STK
001440,대한전선,STK
175330,JB금융지주,STK
357780,솔브레인,KSQ
035900,JYP Ent.,KSQ
036460,한국가스공사,STK
005290,동진쎄미켐,KSQ
012750,에스원,STK
088350,한화생명,STK
004370,농심,STK
008770,호텔신라,STK
008930,한미사이언스,STK
282330,BGF리테일,STK
000150,두산,STK
028670,팬오션,STK
030000,제일기획,STK
014680,한솔케미칼,STK
112610,씨에스윈드,STK
052690,한전기술,STK
002380,KCC,STK
003230,삼양식품,STK
007070,GS리테일,STK
000880,한화,STK
020150,롯데에너지머티리얼즈,STK
051915,LG화학우,STK
026960,동서,STK
041510,에스엠,KSQ
263750,펄어비스,KSQ
000990,DB하이텍,STK
023530,롯데쇼핑,STK
240810,원익IPS,KSQ
010060,OCI홀딩스,STK
095340,ISC,KSQ
278470,에이피알,STK
067630,HLB생명과학,KSQ
073240,금호타이어,STK
141080,리가켐바이오,KSQ
457190,이수스페셜티케미컬,STK
293490,카카오게임즈,KSQ
103140,풍산,STK
139480,이마트,STK
006040,동원산업,STK
009420,한올바이오파마,STK
012510,더존비즈온,STK
417200,LS머트리얼즈,KSQ
035760,CJ ENM,KSQ
036930,주성엔지니어링,KSQ
111770,영원무역,STK
007310,오뚜기,STK
004170,신세계,STK
112040,위메이드,KSQ
237690,에스티팜,KSQ
017800,현대엘리베이,STK
042670,HD현대인프라코어,STK
192820,코스맥스,STK
064760,티씨케이,KSQ
047040,대우건설,STK
011210,현대위아,STK
298050,효성첨단소재,STK
051600,한전KPS,STK
298020,효성티앤씨,STK
204320,HL만도,STK
145720,덴티움,STK
000080,하이트진로,STK
002710,TCC스틸,STK
067310,하나마이크론,KSQ
000240,한국앤컴퍼니,STK
018670,SK가스,STK
328130,루닛,KSQ
281740,레이크머티리얼즈,KSQ
034230,파라다이스,KSQ
005850,에스엘,STK
078600,대주전자재료,KSQ
121600,나노신소재,KSQ
139130,DGB금융지주,STK
214450,파마리서치,KSQ
089030,테크윙,KSQ
185750,종근당,STK
003690,코리안리,STK
336370,솔루스첨단소재,STK
067160,아프리카TV,KSQ
006280,녹십자,STK
004490,세방전지,STK
375500,DL이앤씨,STK
248070,솔루엠,STK
069620,대웅제약,STK
108320,LX세미콘,STK
336260,두산퓨얼셀,STK
006360,GS건설,STK
204270,제이앤티씨,KSQ
253450,스튜디오드래곤,KSQ
137310,에스디바이오센서,STK
004800,효성,STK
280360,롯데웰푸드,STK
001740,SK네트웍스,STK
161890,한국콜마,STK
005420,코스모화학,STK
098460,고영,KSQ
005300,롯데칠성,STK
014820,동원시스템즈,STK
069960,현대백화점,STK
009240,한샘,STK
006110,삼아알미늄,STK
025900,동화기업,KSQ
353200,대덕전자,STK
009970,영원무역홀딩스,STK
096530,씨젠,KSQ
084370,유진테크,KSQ
031980,피에스케이홀딩스,KSQ
003620,KG모빌리티,STK
399720,가온칩스,KSQ
214370,케어젠,KSQ
395400,SK리츠,STK
166090,하나머티리얼즈,KSQ
298380,에이비엘바이오,KSQ
140860,파크시스템스,KSQ
004000,롯데정밀화학,STK
140410,메지온,KSQ
039200,오스코텍,KSQ
294870,HDC현대산업개발,STK
195940,HK이노엔,KSQ
000210,DL,STK
393890,더블유씨피,KSQ
383310,에코프로에이치엔,KSQ
336570,원텍,KSQ
267270,HD현대건설기계,STK
047920,HLB제약,KSQ
003090,대웅,STK
001120,LX인터내셔널,STK
000400,롯데손해보험,STK
036830,솔브레인홀딩스,KSQ
089860,롯데렌탈,STK
082740,한화엔진,STK
285130,SK케미칼,STK
440110,파두,KSQ
120110,코오롱인더,STK
086900,메디톡스,KSQ
222800,심텍,KSQ
103590,일진전기,STK
101490,에스앤에스텍,KSQ
085660,차바이오텍,KSQ
036540,SFA반도체,KSQ
365340,성일하이텍,KSQ
039130,하나투어,STK
287410,제이시스메디칼,KSQ
319660,피에스케이,KSQ
365550,ESR켄달스퀘어리츠,STK
115450,HLB테라퓨틱스,KSQ
002840,미원상사,STK
078130,국일제지,KSQ
056190,에스에프에이,KSQ
213420,덕산네오룩스,KSQ
085620,미래에셋생명,STK
003030,세아제강지주,STK
137400,피엔티,KSQ
192080,더블유게임즈,STK
183300,코미코,KSQ
214320,이노션,STK
002350,넥센타이어,STK
178320,서진시스템,KSQ
300720,한일시멘트,STK
089590,제주항공,STK
001800,오리온홀딩스,STK
420770,기가비스,KSQ
225570,넥슨게임즈,KSQ
114090,GKL,STK
006650,대한유화,STK
352480,씨앤씨인터내셔널,KSQ
009520,포스코엠텍,KSQ
023590,다우기술,STK
074600,원익QnC,KSQ
105630,한세실업,STK
122870,와이지엔터테인먼트,KSQ
195870,해성디에스,STK
008730,율촌화학,STK
048410,현대바이오,KSQ
033100,제룡전기,KSQ
232140,와이아이케이,KSQ
006120,SK디스커버리,STK
082640,동양생명,STK
348950,제이알글로벌리츠,STK
131970,두산테스나,KSQ
009450,경동나비엔,STK
950160,코오롱티슈진,KSQ
007340,DN오토모티브,STK
020560,아시아나항공,STK
080220,제주반도체,KSQ
003280,흥아해운,STK
257720,실리콘투,KSQ
271940,일진하이솔루스,STK
069260,TKG휴켐스,STK
281820,케이씨텍,STK
010780,아이에스동서,STK
181710,NHN,STK
003850,보령,STK
330590,롯데리츠,STK
100090,SK오션플랜트,STK
003540,대신증권,STK
018290,브이티,KSQ
222080,씨아이에스,KSQ
025320,시노펙스,KSQ
032350,롯데관광개발,STK
215200,메가스터디교육,KSQ
001430,세아베스틸지주,STK
418550,제이오,KSQ
093370,후성,STK
049770,동원F&B,STK
066575,LG전자우,STK
009900,명신산업,STK
456040,OCI,STK
000640,동아쏘시오홀딩스,STK
001680,대상,STK
041190,우리기술투자,KSQ
000815,삼성화재우,STK
278280,천보,KSQ
003530,한화투자증권,STK
086450,동국제약,KSQ
005250,녹십자홀딩스,STK
079160,CJ CGV,STK
003380,하림지주,KSQ
000670,영풍,STK
064550,바이오니아,KSQ
015750,성우하이텍,KSQ
317330,덕산테코피아,KSQ
272450,진에어,STK
003240,태광산업,STK
268280,미원에스씨,STK
017860,DS단석,STK
389020,자람테크놀로지,KSQ
005440,현대지에프홀딩스,STK
016380,KG스틸,STK
455900,엔젤로보틱스,KSQ
058970,엠로,KSQ
001060,JW중외제약,STK
403550,쏘카,STK
001530,DI동일,STK
057050,현대홈쇼핑,STK
161580,필옵틱스,KSQ
136510,스마트솔루션즈,KSQ
019170,신풍제약,STK
064960,SNT모티브,STK
005180,빙그레,STK
192400,쿠쿠홀딩스,STK
036810,에프에스티,KSQ
025540,한국단자,STK
053800,안랩,KSQ
131290,티에스이,KSQ
030190,NICE평가정보,STK
031430,신세계인터내셔날,STK
192650,드림텍,STK
344820,KCC글라스,STK
376300,디어유,KSQ
445090,에이직랜드,KSQ
348210,넥스틴,KSQ
189300,인텔리안테크,KSQ
001720,신영증권,STK
170900,동아에스티,STK
475150,SK이터닉스,STK
381970,케이카,STK
069080,웹젠,KSQ
039440,에스티아이,KSQ
394280,오픈엣지테크놀로지,KSQ
058610,에스피지,KSQ
003160,디아이,STK
460930,현대힘스,KSQ
335890,비올,KSQ
005880,대한해운,STK
119860,커넥트웨이브,KSQ
161000,애경케미칼,STK
237880,클리오,KSQ
194480,데브시스터즈,KSQ
272290,이녹스첨단소재,KSQ
000070,삼양홀딩스,STK
229640,LS에코에너지,STK
144510,지씨셀,KSQ
091120,이엠텍,KSQ
003570,SNT다이내믹스,STK
017960,한국카본,STK
091810,티웨이항공,STK
007700,F&F홀딩스,STK
228760,지노믹트리,KSQ
046890,서울반도체,KSQ
014830,유니드,STK
030610,교보증권,STK
090460,비에이치,STK
110990,디아이티,KSQ
032500,케이엠더블유,KSQ
358570,지아이이노베이션,KSQ
378340,필에너지,KSQ
007390,네이처셀,KSQ
460860,동국제강,STK
025980,아난티,KSQ
079370,제우스,KSQ
095610,테스,KSQ
003470,유안타증권,STK
178920,PI첨단소재,STK
087010,펩트론,KSQ
200710,에이디테크놀로지,KSQ
033240,자화전자,STK
293940,신한알파리츠,STK
018250,애경산업,STK
030520,한글과컴퓨터,KSQ
241590,화승엔터프라이즈,STK
310210,보로노이,KSQ
000370,한화손해보험,STK
383800,LX홀딩스,STK
215000,골프존,KSQ
101360,에코앤드림,KSQ
340570,티앤엘,KSQ
372170,윤성에프앤씨,KSQ
012630,HDC,STK
002240,고려제강,STK
099190,아이센스,KSQ
265520,AP시스템,KSQ
286940,롯데이노베이트,STK
002030,아세아,STK
104700,한국철강,STK
253590,네오셈,KSQ
145990,삼양사,STK
00680K,미래에셋증권2우B,STK
005610,SPC삼립,STK
078340,컴투스,KSQ
284740,쿠쿠홈시스,STK
199800,툴젠,KSQ
900140,엘브이엠씨홀딩스,STK
950210,프레스티지바이오파마,STK
095500,미래나노텍,KSQ
060280,큐렉소,KSQ
006220,제주은행,STK
006730,서부T&D,KSQ
126560,현대퓨처넷,STK
034310,NICE,STK
290650,엘앤씨바이오,KSQ
094360,칩스앤미디어,KSQ
360070,탑머티리얼,KSQ
230360,에코마케팅,KSQ
206650,유바이오로직스,KSQ
060250,NHN KCP,KSQ
001820,삼화콘덴서,STK
200130,콜마비앤에이치,KSQ
179900,유티아이,KSQ
215600,신라젠,KSQ
095660,네오위즈,KSQ
091700,파트론,KSQ
071320,지역난방공사,STK
425040,티이엠씨,KSQ
200880,서연이화,STK
104830,원익머트리얼즈,KSQ
001725,신영증권우,STK
017810,풀무원,STK
032190,다우데이타,KSQ
304360,에스바이오메딕스,KSQ
053030,바이넥스,KSQ
093320,케이아이엔엑스,KSQ
082270,젬백스,KSQ
053610,프로텍,KSQ
017940,E1,STK
068240,다원시스,KSQ
443670,에스피소프트,KSQ
243840,신흥에스이씨,KSQ
020000,한섬,STK
099320,쎄트렉아이,KSQ
043150,바텍,KSQ
011930,신성이엔지,STK
049070,인탑스,KSQ
093050,LF,STK
058650,세아홀딩스,STK
432320,KB스타리츠,STK
425420,티에프이,KSQ
108860,셀바스AI,KSQ
252990,샘씨엔에스,KSQ
114840,아이패밀리에스씨,KSQ
003000,부광약품,STK
084850,아이티엠반도체,KSQ
357120,코람코라이프인프라리츠,STK
034120,SBS,STK
249420,일동제약,STK
256840,한국비엔씨,KSQ
005810,풍산홀딩스,STK
372320,큐로셀,KSQ
075580,세진중공업,STK
151860,KG ETS,KSQ
090435,아모레퍼시픽우,STK
083450,GST,KSQ
299030,하나기술,KSQ
064290,인텍플러스,KSQ
005160,동국산업,KSQ
097520,엠씨넥스,STK
114190,강원에너지,KSQ
297890,HB솔루션,KSQ
377740,바이오노트,STK
033640,네패스,KSQ
290690,소룩스,KSQ
243070,휴온스,KSQ
051980,중앙첨단소재,KSQ
101160,월덱스,KSQ
082920,비츠로셀,KSQ
453340,현대그린푸드,STK
241710,코스메카코리아,KSQ
218410,RFHIC,KSQ
092040,아미코젠,KSQ
016800,퍼시스,STK
071970,STX중공업,STK
041830,인바디,KSQ
445680,큐리옥스바이오시스템즈,KSQ
094800,맵스리얼티1,STK
122640,예스티,KSQ
089970,에이피티씨,KSQ
448730,삼성FN리츠,STK
044490,태웅,KSQ
033500,동성화인텍,KSQ
323990,박셀바이오,KSQ
306200,세아제강,STK
002310,아세아제지,STK
204620,글로벌텍스프리,KSQ
001200,유진투자증권,STK
007460,에이프로젠,STK
183190,아세아시멘트,STK
330860,네패스아크,KSQ
034950,한국기업평가,KSQ
024850,HLB이노베이션,KSQ
089010,켐트로닉스,KSQ
001390,KG케미칼,STK
006405,삼성SDI우,STK
115390,락앤락,STK
171090,선익시스템,KSQ
007810,코리아써키트,STK
102710,이엔에프테크놀로지,KSQ
003300,한일홀딩스,STK
094170,동운아나텍,KSQ
123890,한국자산신탁,STK
166480,코아스템켐온,KSQ
099430,바이오플러스,KSQ
054450,텔레칩스,KSQ
200670,휴메딕스,KSQ
003520,영진약품,STK
036530,SNT홀딩스,STK
003545,대신증권우,STK
042000,카페24,KSQ
054950,제이브이엠,KSQ
033270,유나이티드제약,STK
029530,신도리코,STK
004690,삼천리,STK
114810,한솔아이원스,KSQ
432720,퀄리타스반도체,KSQ
451800,한화리츠,STK
003920,남양유업,STK
051905,LG생활건강우,STK
083310,엘오티베큠,KSQ
338220,뷰노,KSQ
045100,한양이엔지,KSQ
025860,남해화학,STK
001940,KISCO홀딩스,STK
059090,미코,KSQ
010690,화신,STK
299900,위지윅스튜디오,KSQ
031330,에스에이엠티,KSQ
093230,이아이디,STK
002960,한국쉘석유,STK
001340,백광산업,STK
089980,상아프론테크,KSQ
206640,바디텍메드,KSQ
437730,삼현,KSQ
009290,광동제약,STK
027410,BGF,STK
026890,스틱인베스트먼트,STK
013030,하이록코리아,KSQ
108670,LX하우시스,STK
00104K,CJ4우(전환),STK
029960,코엔텍,KSQ
005389,현대차3우B,STK
036620,감성코퍼레이션,KSQ
078150,HB테크놀러지,KSQ
050890,쏠리드,KSQ
000680,LS네트웍스,STK
060720,KH바텍,KSQ
003220,대원제약,STK
319400,현대무벡스,KSQ
004700,조광피혁,STK
348340,뉴로메카,KSQ
060980,HL홀딩스,STK
005690,파미셀,STK
036200,유니셈,KSQ
278650,HLB바이오스텝,KSQ
00088K,한화3우B,STK
001470,삼부토건,STK
039840,디오,KSQ
148150,세경하이테크,KSQ
119610,인터로조,KSQ
086390,유니테스트,KSQ
101730,위메이드맥스,KSQ
025770,한국정보통신,KSQ
005090,SGC에너지,STK
004430,송원산업,STK
251970,펌텍코리아,KSQ
051370,인터플렉스,KSQ
003580,HLB글로벌,STK
084010,대한제강,STK
077970,STX엔진,STK
001780,알루코,STK
003960,사조대림,STK
023160,태광,KSQ
000430,대원강업,STK
035890,서희건설,KSQ
117730,티로보틱스,KSQ
138580,비즈니스온,KSQ
078350,한양디지텍,KSQ
067390,아스트,KSQ
035600,KG이니시스,KSQ
136480,하림,KSQ
357550,석경에이티,KSQ
027360,아주IB투자,KSQ
126720,수산인더스트리,STK
007690,국도화학,STK
061970,LB세미콘,KSQ
018470,조일알미늄,STK
439090,마녀공장,KSQ
014620,성광벤드,KSQ
002320,한진,STK
080160,모두투어,KSQ
267980,매일유업,KSQ
038500,삼표시멘트,KSQ
126700,하이비젼시스템,KSQ
235980,메드팩토,KSQ
084690,대상홀딩스,STK
397030,에이프릴바이오,KSQ
298690,에어부산,STK
001630,종근당홀딩스,STK
024720,콜마홀딩스,STK
108490,로보티즈,KSQ
118990,모트렉스,KSQ
041020,폴라리스오피스,KSQ
263720,디앤씨미디어,KSQ
088260,이리츠코크렙,STK
004560,현대비앤지스틸,STK
035150,백산,STK
056080,유진로봇,KSQ
000490,대동,STK
214430,아이쓰리시스템,KSQ
072710,농심홀딩스,STK
441270,파인엠텍,KSQ
112290,와이씨켐,KSQ
100790,미래에셋벤처투자,KSQ
090360,로보스타,KSQ
077360,덕산하이메탈,KSQ
012030,DB,STK
041960,코미팜,KSQ
405100,큐알티,KSQ
108230,톱텍,KSQ
095700,제넥신,KSQ
009160,SIMPAC,STK
092870,엑시콘,KSQ
060150,인선이엔티,KSQ
018310,삼목에스폼,KSQ
058820,CMG제약,KSQ
047310,파워로직스,KSQ
000500,가온전선,STK
094480,갤럭시아머니트리,KSQ
102120,어보브반도체,KSQ
029460,케이씨,STK
058430,포스코스틸리온,STK
003800,에이스침대,KSQ
304100,솔트룩스,KSQ
006390,한일현대시멘트,STK
017390,서울가스,STK
217270,넵튠,KSQ
004380,삼익THK,STK
217330,싸이토젠,KSQ
036420,콘텐트리중앙,STK
322310,오로스테크놀로지,KSQ
270520,지오릿에너지,KSQ
001510,SK증권,STK
084680,이월드,STK
122900,아이마켓코리아,STK
950140,잉글우드랩,KSQ
100120,뷰웍스,KSQ
448280,에코아이,KSQ
101670,하이드로리튬,KSQ
126340,비나텍,KSQ
001790,대한제당,STK
051500,CJ프레시웨이,KSQ
005500,삼진제약,STK
117580,대성에너지,STK
030530,원익홀딩스,KSQ
001500,현대차증권,STK
307750,국전약품,KSQ
000480,CR홀딩스,STK
009680,모토닉,STK
011500,한농화성,STK
272550,삼양패키징,STK
064260,다날,KSQ
004090,한국석유,STK
051360,토비스,KSQ
007570,일양약품,STK
023410,유진기업,KSQ
138490,코오롱플라스틱,STK
322000,HD현대에너지솔루션,STK
084110,휴온스글로벌,KSQ
254490,미래반도체,KSQ
042600,새로닉스,KSQ
356860,티엘비,KSQ
216080,제테마,KSQ
047560,이스트소프트,KSQ
005950,이수화학,STK
001230,동국홀딩스,STK
092220,KEC,STK
416180,신성에스티,KSQ
402030,코난테크놀로지,KSQ
146320,비씨엔씨,KSQ
226320,잇츠한불,STK
107640,한중엔시에스,KNX
037270,YG PLUS,STK
452260,한화갤러리아,STK
071055,한국금융지주우,STK
123860,아나패스,KSQ
052400,코나아이,KSQ
314930,바이오다인,KSQ
121800,비덴트,KSQ
005390,신성통상,STK
270660,에브리봇,KSQ
024060,흥구석유,KSQ
950170,JTC,KSQ
034830,한국토지신탁,STK
033160,엠케이전자,KSQ
060370,LS마린솔루션,KSQ
053210,스카이라이프,STK
000155,두산우,STK
298830,슈어소프트테크,KSQ
174900,앱클론,KSQ
102940,코오롱생명과학,KSQ
002150,도화엔지니어링,STK
037560,LG헬로비전,STK
016580,환인제약,STK
389260,대명에너지,KSQ
097230,HJ중공업,STK
211050,인카금융서비스,KSQ
334970,프레스티지바이오로직스,KSQ
013890,지누스,STK
005010,휴스틸,STK
402490,그린리소스,KSQ
003120,일성아이에스,STK
334890,이지스밸류리츠,STK
104460,디와이피엔에프,KSQ
083650,비에이치아이,KSQ
078020,이베스트투자증권,KSQ
417010,나노팀,KSQ
226950,올릭스,KSQ
053080,케이엔솔,KSQ
365270,큐라클,KSQ
006580,대양제지,KSQ
049950,미래컴퍼니,KSQ
096040,이트론,KSQ
102460,이연제약,STK
268600,셀리버리,KSQ
217820,원익피앤이,KSQ
008490,서흥,STK
282880,코윈테크,KSQ
036030,케이티알파,KSQ
194370,제이에스코퍼레이션,STK
451760,컨텍,KSQ
037710,광주신세계,STK
461030,아이엠비디엑스,KSQ
079940,가비아,KSQ
009470,삼화전기,STK
008350,남선알미늄,STK
000540,흥국화재,STK
032620,유비케어,KSQ
001460,BYC,STK
001270,부국증권,STK
083790,CG인바이츠,KSQ
211270,AP위성,KSQ
092070,디엔에프,KSQ
079810,디이엔티,KSQ
095720,웅진씽크빅,STK
213500,한솔제지,STK
271980,제일약품,STK
034810,해성산업,KSQ
200470,에이팩트,KSQ
013120,동원개발,KSQ
144960,뉴파워프라즈마,KSQ
089890,코세스,KSQ
000020,동화약품,STK
457550,우진엔텍,KSQ
052020,에스티큐브,KSQ
078160,메디포스트,KSQ
093640,케이알엠,KSQ
293480,하나제약,STK
002810,삼영무역,STK
092230,KPX홀딩스,STK
048530,인트론바이오,KSQ
950130,엑세스바이오,KSQ
011810,STX,STK
382840,원준,KSQ
078070,유비쿼스홀딩스,KSQ
179290,엠아이텍,KSQ
150840,인트로메딕,KSQ
015360,예스코홀딩스,STK
083930,아바코,KSQ
086980,쇼박스,KSQ
318020,포인트모바일,KSQ
036800,나이스정보통신,KSQ
016590,신대양제지,STK
214680,디알텍,KSQ
205470,휴마시스,KSQ
388720,유일로보틱스,KSQ
048870,시너지이노베이션,KSQ
229500,노브메타파마,KNX
064800,젬백스링크,KSQ
025820,이구산업,STK
086890,이수앱지스,KSQ
011760,현대코퍼레이션,STK
122990,와이솔,KSQ
354320,알멕,KSQ
130660,한전산업,STK
036220,오상헬스케어,KSQ
190510,나무가,KSQ
043370,피에이치에이,KSQ
004360,세방,STK
102260,동성케미컬,STK
005860,한일사료,KSQ
035080,그래디언트,KSQ
005720,넥센,STK
017890,한국알콜,KSQ
036890,진성티이씨,KSQ
084990,헬릭스미스,KSQ
900290,GRT,KSQ
109610,에스와이,KSQ
001130,대한제분,STK
096760,JW홀딩스,STK
001520,동양,STK
096240,크레버스,KSQ
377190,디앤디플랫폼리츠,STK
006060,화승인더,STK
109070,주성코퍼레이션,STK
071840,롯데하이마트,STK
025000,KPX케미칼,STK
091580,상신이디피,KSQ
432430,와이랩,KSQ
042370,비츠로테크,KSQ
297090,씨에스베어링,KSQ
045390,대아티아이,KSQ
298540,더네이쳐홀딩스,KSQ
095570,AJ네트웍스,STK
107600,새빗켐,KSQ
089600,나스미디어,KSQ
160980,싸이맥스,KSQ
019680,대교,STK
122450,KX,KSQ
298000,효성화학,STK
005430,한국공항,STK
057880,피에이치씨,KSQ
038290,마크로젠,KSQ
039570,HDC랩스,STK
000050,경방,STK
074610,이엔플러스,STK
228670,레이,KSQ
126600,BGF에코머티리얼즈,KSQ
182360,큐브엔터,KSQ
143240,사람인,KSQ
007860,서연,STK
220100,퓨쳐켐,KSQ
445180,퓨릿,KSQ
008060,대덕,STK
060570,드림어스컴퍼니,KSQ
004980,성신양회,STK
000140,하이트진로홀딩스,STK
032300,한국파마,KSQ
073570,리튬포어스,KSQ
404990,신한서부티엔디리츠,STK
009155,삼성전기우,STK
033340,좋은사람들,KSQ
073490,이노와이어리스,KSQ
066790,씨씨에스,KSQ
411080,샌즈랩,KSQ
035810,이지홀딩스,KSQ
002900,TYM,STK
207760,미스터블루,KSQ
015860,일진홀딩스,STK
032820,우리기술,KSQ
067280,멀티캠퍼스,KSQ
092200,디아이씨,STK
001250,GS글로벌,STK
123040,엠에스오토텍,KSQ
002020,코오롱,STK
285490,노바텍,KSQ
000390,삼화페인트,STK
339770,교촌에프앤비,STK
093520,매커스,KSQ
289220,자이언트스텝,KSQ
251370,와이엠티,KSQ
011280,태림포장,STK
225530,보광산업,KSQ
063080,컴투스홀딩스,KSQ
452430,사피엔반도체,KSQ
450140,코오롱모빌리티그룹,STK
176750,듀켐바이오,KNX
210980,SK디앤디,STK
054210,이랜텍,KSQ
005945,NH투자증권우,STK
006840,AK홀딩스,STK
003200,일신방직,STK
010955,S-Oil우,STK
027970,한국제지,STK
001080,만호제강,STK
199430,케이엔알시스템,KSQ
